ID,Site,Core,DepthInterval,Center_DepthInterval,SoilType,ThawDepth,ActiveLayer,water%,pH,perC,perN,BulkDensity
Ex1D5,Ex,1,  5-15  ,10,O,Above,Y,0.9,4.18,41.77,0.8,0.0323
Ex1D15,Ex,1,  15-25,20,O,Above,Y,0.87,4.24,40.87,1.19,0.0801
Ex1D43,Ex,1,  43.5-53.5 Rep,48.5,M,Below,Y,0.51,4.96,21.23,0.89,0.4044
Ex1D53,Ex,1,  53.5-63.5,58.5,M,Below,Y,0.47,4.96,22.74,1.06,0.4475
Ex1D63,Ex,1,63.5-73.5,68.5,M,Below,Y,0.54,5.15,,,
Ex1D73,Ex,1,  73.5-83.5,78.5,M,Below,N,,,12.29,0.57,0.5964
Ex1D83,Ex,1,  83.5-92.5,88,M,Below,N,,,14.6,0.76,0.2566
Ex2D0,Ex,2,  0-11,5.5,O,Above,Y,,,39.61,0.7,0.0579
Ex2D13,Ex,2,  13-25,19,O,Below,Y,0.9,4.26,38.88,1.29,0.1125
Ex2D25,Ex,2,  25-35,30,O,Below,Y,0.86,4.45,39.59,1.29,0.1402
Ex2D35,Ex,2,  35-41,38,O,Below,Y,0.75,4.41,31.63,1.64,0.2806
Ex2D41,Ex,2,  41-51,46,O,Below,Y,0.67,4.7,31.63,1.64,0.2806
Ex2D51,Ex,2,  51-61,56,O,Below,Y,0.68,4.45,31.63,1.64,0.2806
Ex2D81,Ex,2,  81-91,86,M,Below,N,0.3,5.55,4.76,0.2,0.409
Ex2D91,Ex,2,  91-116,103.5,M,Below,N,0.5,5.35,11.17,0.48,0.2293
Ex3D0,Ex,3,0-14,7,O,Above,Y,,5.47,39.8,1.3,0.0702
Ex3D14,Ex,3,  14-25,19.5,O,Below,Y,0.88,4.49,38.24,1.36,0.096
Ex3D25,Ex,3,  25-35,30,O,Below,Y,0.8,,37.88,1.38,0.1147
Ex3D35,Ex,3,  35-45,40,O,Below,Y,0.73,4.4,31.57,1.41,0.2744
Ex3D63,Ex,3,63-73,68,M,Below,Y,0.24,5.72,17.7,0.92,0.3048
Ex3D73,Ex,3,73-75,74,M,Below,Y,,6.05,,,
Ex3D85,Ex,3,85-115,100,M,Below,N,0.24,,,,
Ex4D0,Ex,4,0-5,2.5,O,Above,Y,0.93,4.55,,,
Ex4D5,Ex,4, 5-15,10,O,Above,Y,,4.24,41.84,0.87,0.0593
Ex4D15,Ex,4,15-25,20,O,Above,Y,,4.2,41.16,0.87,0.0682
Ex4D25,Ex,4,  25-34,29.5,O,Above,Y,0.93,4.45,40.61,1.32,0.0865
Ex4D34,Ex,4,  34-45,39.5,O,Below,Y,0.82,4.34,39.85,1.57,0.1222
Ex4D45,Ex,4,  45-50,47.5,O,Below,Y,0.74,4.51,39.85,1.57,0.1222
Ex4D50,Ex,4,50-60,55,M,Below,Y,0.23,4.88,5.76,0.22,1.065
Ex5D0,Ex,5,0-5,2.5,O,Above,Y,,4.53,,,
Ex5D5,Ex,5,  5-15,10,O,Above,Y,0.93,4.39,41.15,0.63,0.0414
Ex5D15,Ex,5,  15-25,20,O,Above,Y,0.92,4.37,40,0.92,0.0709
Ex5D25,Ex,5,  25-35,30,O,Above,Y,0.89,4.53,40.85,1.42,0.1015
Ex5D35,Ex,5,   35-39,37,O,Below,Y,0.83,4.32,29.95,1.42,0.27
Ex5D39,Ex,5,  39-53,46,O,Below,Y,0.79,4.56,29.95,1.42,0.27
Ex5D53,Ex,5,  53-63,58,O,Below,Y,0.65,4.76,29.95,1.42,0.27
Ex5D63,Ex,5,63-75,69,M,Below,Y,0.62,5.06,19.36,0.92,0.4565
Ex6D0,Ex,6,  0-15,7.5,O,Above,Y,,,42.21,0.89,0.0802
Ex6D25,Ex,6,  25-35,30,O,Below,Y,0.82,,41.45,1.53,0.1517
Ex6D35,Ex,6,  35-43,39,O,Below,Y,0.76,4.09,27.64,1.44,0.3269
Ex6D43,Ex,6,  43-54,48.5,O,Below,Y,0.69,4.72,27.64,1.44,0.3269
Ex6D54,Ex,6,  54-63,58.5,M,Below,Y,0.56,5,18.34,0.9,0.3211
Ex6D63,Ex,6,  63-73,68,M,Below,Y,0.55,5.17,18.55,0.83,0.445
Ex6D83,Ex,6,  83-94,88.5,M,Below,N,0.66,5.83,17.23,0.92,0.2035
Mi2D0,Mi,2,0-5,2.5,O,Above,Y,0.85,4.12,,,
Mi2D5,Mi,2,  5-18,11.5,O,Above,Y,0.93,4.28,43.04,0.8,0.0747
Mi2D18,Mi,2,  18-25,21.5,O,Below,Y,0.85,4.51,41.6,1.01,0.0784
Mi2D25,Mi,2,  25-35,30,O,Below,Y,0.88,5.01,38.18,1.58,0.1533
Mi2D35,Mi,2,  35-43,39,O,Below,Y,0.75,4.45,34.74,1.7,0.2063
Mi3D0,Mi,3,   0-14,7,O,Above,Y,,,39.42,1.13,0.1002
Mi3D14,Mi,3,  14-25,19.5,O,Below,Y,0.85,4.32,36.53,1.66,0.1839
Mi3D25,Mi,3,  25-35,30,M,Below,Y,0.45,4.5,19.77,0.9,0.339
Mi3D35,Mi,3,  35-45,40,M,Below,Y,0.36,5,7.95,0.34,0.9394
Mi3D45,Mi,3,  45-55,50,M,Below,Y,0.38,5,18.84,0.85,0.3658
Mi3D55,Mi,3,  55-65,60,M,Below,Y,0.69,5.25,27.65,1,0.2773
Mi3D75,Mi,3,  75-83,79,M,Below,N,,,26.43,0.99,0.268
Mi4D0,Mi,4,0-5,2.5,O,Above,Y,,4.32,,,
Mi4D5,Mi,4,  5-18,11.5,O,Above,Y,0.82,3.91,40.72,1.17,0.0422
Mi4D18,Mi,4,  18-25,21.5,O,Below,Y,0.83,4.2,38.36,1.12,0.0999
Mi4D25,Mi,4,  25-35,30,O,Below,Y,0.8,4.2,37.64,1.38,0.1929
Mi4D35,Mi,4,  35-41,38,O,Below,Y,0.75,4.69,39.2,1.83,0.2662
Mi4D41,Mi,4,41-51,46,M,Below,Y,0.33,5.37,10.16,0.33,0.7023
Mi5D0,Mi,5,0-5,2.5,O,Above,Y,,4.33,,,
Mi5D5,Mi,5,  5-14,9.5,O,Above,Y,0.9,4.33,45.87,0.92,0.0628
Mi5D15,Mi,5,  15-25,20,O,Below,Y,,,38.79,0.81,0.091
Mi5D39,Mi,5,  39-49,44,M,Below,Y,0.33,4.91,8.11,0.3,0.5958
Mi5D49,Mi,5,49-53,51,M,Below,Y,,5.13,,,
Mi6D0,Mi,6,  0-13,6.5,O,Above,Y,,,40.22,1.01,0.0789
Mi6D13,Mi,6,  13-25,19,O,Below,Y,,,37.2,1.42,0.1264
Mi6D25,Mi,6,  25-30,27.5,O,Below,Y,0.79,,37.05,1.95,0.2924
Mi6D30,Mi,6,  30-40,35,M,Below,Y,0.29,5.06,7.13,0.25,1.0763
Mi6D40,Mi,6,40-50,45,M,Below,Y,0.18,5,6.67,0.22,1.0418
Mi6D50,Mi,6,  50-60,55,M,Below,Y,0.47,5.1,16.52,0.48,0.3061
Mi6D60,Mi,6,  60-70,65,M,Below,Y,,5.26,12.79,0.51,0.3708
Mi7D0,Mi,7,  0-15,7.5,O,Above,Y,,,42.36,0.89,0.0405
Mi7D15,Mi,7,  15-25,20,O,Below,Y,0.79,4.44,40.67,1.75,0.1735
Mi7D25,Mi,7,  25-34,29.5,O,Below,Y,0.68,4.62,34.67,1.75,0.3119
Mi7D34,Mi,7,34-36,35,,Below,Y,,4.96,,,
Mi7D36,Mi,7,  36-46,41,M,Below,Y,0.41,5.07,12.52,0.51,0.29
Mi7D46,Mi,7,  46-56,51,M,Below,Y,0.72,5.08,23.12,1.19,0.3434
Mi7D76,Mi,7,  76-81.5,78.75,M,Below,N,,,16.02,0.66,0.2533
Mo1D0,Mo,1,  0-15,7.5,O,Above,Y,,,42.97,0.76,0.065
Mo1D40,Mo,1,  40-50,45,M,Below,Y,0.41,,15.47,0.62,0.3535
Mo1D50,Mo,1,  50-60,55,M,Below,Y,,,8.86,0.33,0.7129
Mo1D60,Mo,1,  60-70,65,M,Below,Y,0.55,5.46,21.2,0.8,0.2762
Mo2D0,Mo,2,  0-15,7.5,O,Above,Y,0.86,4.15,42.36,0.74,0.0806
Mo2D15,Mo,2,  15-25,20,O,Below,Y,0.81,4.24,38.15,1.53,0.1365
Mo2D25,Mo,2,  25-35,30,O,Below,Y,0.74,4.73,41.11,1.89,0.2459
Mo2D35,Mo,2,  35-45,40,M,Below,Y,0.29,5.53,7.42,0.21,1.1801
Mo2D45,Mo,2,  45-55,50,M,Below,Y,0.63,5.01,22.91,0.73,0.456
Mo2D55,Mo,2,  55-65,60,M,Below,Y,0.59,5.04,25.19,1.06,0.335
Mo3D0,Mo,3,  0-16.5,8.25,O,Above,Y,,,41.99,0.58,0.0805
Mo3D16,Mo,3,  16.5-25,20.75,O,Below,Y,0.82,4.24,38.2,1.45,0.1777
Mo3D25,Mo,3,  25-35,30,O,Below,Y,0.76,5.91,40.03,1.95,0.2504
Mo3D35,Mo,3,  35-45,40,O,Below,Y,0.63,5.08,36.81,1.66,0.3036
Mo3D45,Mo,3,  45-62,53.5,O,Below,Y,0.69,5.25,36.81,1.66,0.3036
Mo4D0,Mo,4,  0-17,8.5,O,Above,Y,,,40.5,1.21,0.0827
Mo4D17,Mo,4,  17-25,21,O,Below,Y,0.8,4.28,39.58,1.77,0.1684
Mo4D25,Mo,4,  25-34,29.5,O,Below,Y,0.71,4.64,41.71,2.02,0.2331
Mo4D34,Mo,4,  34-46,40,M,Below,Y,0.29,4.66,8.76,0.3,0.9908
Mo4D46,Mo,4,  46-56,51,M,Below,Y,0.65,5.29,24.58,1.02,0.3564
Mo4D56,Mo,4,  56-66,61,M,Below,Y,0.59,5.25,24.79,1.15,0.321
Mo4D66,Mo,4,  66-76,71,M,Below,N,0.58,5.8,21.08,0.89,0.5532
Mo5D5,Mo,5,  5-15,10,O,Above,Y,0.79,4.4,42.64,0.82,0.0447
Mo5D15,Mo,5,  15-25,20,O,Below,Y,0.83,4.15,39.92,1.18,0.0918
Mo5D25,Mo,5,  25-35,30,O,Below,Y,0.8,4.3,40.98,1.88,0.183
Mo5D35,Mo,5,  35-45,40,O,Below,Y,0.77,4.58,33.55,1.63,0.2872
Mo5D45,Mo,5,  45-55,50,M,Below,Y,0.78,4.69,10.74,0.49,0.3199
Mo5D55,Mo,5,  55-65,60,M,Below,Y,0.68,4.85,4.31,0.2,0.3392
Mo5D85,Mo,5,  85-91,88,M,Below,N,,5.57,14.84,0.68,0.2395
Mo6D0,Mo,6,0-5,2.5,O,Above,Y,,4.24,,,
Mo6D5,Mo,6,  5-16,10.5,O,Above,Y,0.93,4.11,40.47,0.78,0.057
Mo6D16,Mo,6,  16-25,20.5,O,Below,Y,0.84,4.24,39.64,1.4,0.1476
Mo6D25,Mo,6,  25-35,30,O,Below,Y,0.76,4.59,39.9,1.69,0.214
Mo6D35,Mo,6,  35-45,40,O,Below,Y,0.36,5.17,29.61,1.4,0.3241
Mo6D45,Mo,6,45-59,52,O,Below,Y,0.73,4.8,29.61,1.4,0.3241
Mo6D59,Mo,6,  59-69,64,M,Below,Y,0.52,5.09,19.99,0.76,0.3921
Mo6D69,Mo,6,  69-71,70,M,Below,Y,,,31.87,1.07,0.4221
